Sr_No,visit_date,Company_Name,Month,Company_logo,Company_website
1,02-08-2022,Siemens,August,https://media.istockphoto.com/id/587779168/photo/siemes-logo-at-door-of-new-headquarters-munich-germany.jpg?s=612x612&w=0&k=20&c=y2oZo623DY9HCH2XdGg7qkVRTQCSMag5XjNxgWEIks8=,https://www.siemens.com/global/en.html
3,04-08-2022,Espressif Systems,August,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVvTqwxXRPURQpPJiMg1As_aY7yfKztQZcieMcsDKyKA&s,https://www.espressif.com/
4,07-08-2022,Ittiam Systems,August,https://www.ittiam.com/wp-content/themes/ittiam/assets/images/placeholder-image.jpg,https://www.ittiam.com/
5,06-08-2022,FinIQ,August,https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/c8/18/9b/c8189b1a-ac71-2b14-555c-dd4d0f0a2813/AppIcon-1x_U007emarketing-0-7-0-85-220.png/512x512bb.jpg,https://www.finiq.com
6,14-08-2022,Trilogy Innovations,August,https://media.licdn.com/dms/image/D4D22AQGxfqJ58PXnrQ/feedshare-shrink_2048_1536/0/1692195498946?e=2147483647&v=beta&t=E4guMEa80PSMkuSthd_ru3D5ppYA3YGv0ZSw-5vnJ7s,https://innovations.trilogy.com/
7,08-08-2022,Bajaj Finserv,August,https://e1.pxfuel.com/desktop-wallpaper/495/721/desktop-wallpaper-a-n-consultancy-services-bajaj-logo.jpg,https://www.bajajfinserv.in/
8,09-08-2022,Avaya,August,https://www.shutterstock.com/image-photo/prague-czechia-november-1-2019-260nw-1621711207.jpg,https://www.avaya.com/en/
9,01-08-2022,PhonePe,August,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO00UpdyxmhrWfOjcbak0ut_8Ppa2sO5l8jX_z2Zi_Ww&s,https://www.phonepe.com/
10,25-08-2022,UBS,August,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGOMAfXgT-3N1-fY5-CePtlkdW3a7V5J83up0XILBfuA&s,https://www.ubs.com/in/en.html
11,27-07-2022,Deutsche Bank,July,https://academy-public.coinmarketcap.com/optimized-uploads/7a93058bea164ecaa2f83f8d8a1a1718.png,https://www.db.com/index?language_id=1&kid=sl.redirect-en.shortcut
12,27-07-2022,ZS Associates,July,https://miro.medium.com/v2/resize:fit:1102/1*MmTLywsdQajK4YEsRl-zUA.jpeg,https://www.zs.com/
13,27-07-2022,BMC Software,July,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSl5iqVDPK_SDyaMB-BBE0Z_WijkoNLQVVBW3unOxx1sw&s,https://www.bmc.com/
14,27-07-2022,Tracelink,July,https://media.licdn.com/dms/image/C4D1BAQEiRI7ihbH0fQ/company-background_10000/0/1601050605674/tracelink_cover?e=2147483647&v=beta&t=meile_clC_gN5LX2xzSPAlZwXy9z3cD3kshqtOh1oMk,https://www.tracelink.com/
15,27-07-2022,Goldman Sachs,July,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202403/65e98ce12fa97-goldman-sachs-raises-sp-500-share-buyback-forecast-to-925-billion-in-2024-amid-mega-cap-tech-earni-074607791-16x9.png?size=948:533,https://www.goldmansachs.com/
16,27-07-2022,Adobe,July,https://coingape.com/wp-content/uploads/2024/02/Adobe.jpg,https://www.adobe.com/
17,13-08-2022,TIAA India,August,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLLCEFmdbdT9BeUAaP2x9UfcOLufzMAuhOHFl0b6Uh&s,https://careers.tiaa.org/tiaagbs/global/en/home
18,13-08-2022,Barclays,August,https://www.shutterstock.com/image-photo/barclays-bank-sign-logo-high-260nw-1062402458.jpg,https://home.barclays/
19,16-08-2022,EO Technologic,August,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBAjmLFMVEX3BA0947W0XrXgvOb0mYmzZq1iy4n5I3Cg&s,https://www.1eq.com/
20,11-08-2022,Mastercard,August,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfhG2RzIWg9S4FR8_mSqWu6KIl0obst6IRHV40Z0X3YQ&s,https://www.mastercard.co.in/en-in.html
21,12-08-2022,BNY Mellon,August,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/WQ7PV4BJCZNCXGIV7SXHBRYQFA.jpg,https://www.bnymellon.com/
22,13-01-2023,Kylas,January,https://media.licdn.com/dms/image/D4D16AQHZQwtEJ66fPQ/profile-displaybackgroundimage-shrink_200_800/0/1681823676285?e=2147483647&v=beta&t=MPDwBvABIa0WmH_SJ8dnRMe5TlW5WNFsuKjFhPM2ILQ,https://kylas.io/
23,15-08-2022,Turtlemint,August,https://media.licdn.com/dms/image/C4D16AQHnvy3_tm8rtg/profile-displaybackgroundimage-shrink_200_800/0/1661343534312?e=2147483647&v=beta&t=d9i9kvs2NA6cqxVYiJzZ9tJAPwlmx8aDNFxF5cMj_lU,https://www.turtlemint.com/
25,17-08-2022,PubMatic India,August,https://pubmatic.com/wp-content/uploads/2024/04/Logo-on-169-Background-1.png,https://pubmatic.com/
26,25-08-2022,Druva,August,https://media.licdn.com/dms/image/D560BAQEDRyEza4L5bw/company-logo_200_200/0/1688145028589/druva_logo?e=2147483647&v=beta&t=YGJvbiswZWd_iqftZxTpsTWZD2l9qPbJvy3hsM8BbtQ,https://www.druva.com/
27,21-08-2022,Veritas India,August,https://assets.upstox.com/content/assets/images/logos/BSE_EQ%7CINE379J01029.png,https://www.veritasindia.net/
